"customer_id","recency","frequency","monetary","r_score","f_score","m_score","total_score","costumer_segment"
"14355","365","1","174.40",1,1,1,3,"Lost costumer"
"13369","365","1","308.28",1,2,2,5,"Lost costumer"
"15221","365","1","403.25",1,2,2,5,"Lost costumer"
"13270","365","1","590.00",1,1,2,4,"Lost costumer"
"14932","365","1","363.53",1,2,2,5,"Lost costumer"
"15347","365","1","201.60",1,1,1,3,"Lost costumer"
"16065","364","1","372.09",1,2,2,5,"Lost costumer"
"15723","364","1","203.10",1,1,1,3,"Lost costumer"
"17456","364","1","249.86",1,1,1,3,"Lost costumer"
"16795","364","1","414.88",1,1,2,4,"Lost costumer"
"17880","364","1","458.92",1,1,2,4,"Lost costumer"
"17978","364","1","300.92",1,1,1,3,"Lost costumer"
"14082","364","1","182.25",1,1,1,3,"Lost costumer"
"15945","364","1","181.00",1,1,1,3,"Lost costumer"
"12785","363","1","311.95",1,2,2,5,"Lost costumer"
"16727","363","1","272.82",1,1,1,3,"Lost costumer"
"16565","363","1","173.70",1,1,1,3,"Lost costumer"
"17251","362","1","283.28",1,1,1,3,"Lost costumer"
"15503","362","1","147.09",1,1,1,3,"Lost costumer"
"14413","361","1","122.70",1,2,1,4,"Lost costumer"
"15361","361","1","418.92",1,1,2,4,"Lost costumer"
"16665","361","1","135.40",1,1,1,3,"Lost costumer"
"18004","361","1","169.47",1,1,1,3,"Lost costumer"
"15454","361","1","179.10",1,1,1,3,"Lost costumer"
"17303","360","1","250.04",1,1,1,3,"Lost costumer"
"16202","360","1","365.27",1,2,2,5,"Lost costumer"
"16812","360","1","479.35",1,1,2,4,"Lost costumer"
"17524","360","1","145.00",1,1,1,3,"Lost costumer"
"13948","360","1","102.00",1,1,1,3,"Lost costumer"
"13295","359","1","201.20",1,1,1,3,"Lost costumer"
"17525","359","1","422.70",1,1,2,4,"Lost costumer"
"16499","359","2","365.45",1,2,2,5,"Lost costumer"
"17496","358","1","271.05",1,1,1,3,"Lost costumer"
"17752","358","1","80.64",1,1,1,3,"Lost costumer"
"18050","358","1","74.40",1,1,1,3,"Lost costumer"
"17551","358","1","306.84",1,1,1,3,"Lost costumer"
"13874","357","1","540.45",1,1,2,4,"Lost costumer"
"15224","357","2","322.08",1,2,2,5,"Lost costumer"
"17691","357","2","290.40",1,2,1,4,"Lost costumer"
"14373","357","1","76.55",1,1,1,3,"Lost costumer"
"12967","357","2","1660.90",1,3,3,7,"Lost costumer"
"18176","357","1","476.35",1,1,2,4,"Lost costumer"
"15789","357","1","351.30",1,2,2,5,"Lost costumer"
"12551","357","1","168.00",1,1,1,3,"Lost costumer"
"13033","356","1","190.55",1,1,1,3,"Lost costumer"
"15160","356","1","158.16",1,1,1,3,"Lost costumer"
"15204","356","1","316.58",1,2,2,5,"Lost costumer"
"15279","354","1","290.51",1,1,1,3,"Lost costumer"
"17343","354","1","193.64",1,1,1,3,"Lost costumer"
"15460","353","1","216.76",1,1,1,3,"Lost costumer"
"16270","352","1","1141.24",1,2,3,6,"Lost costumer"
"12734","352","1","110.40",1,2,1,4,"Lost costumer"
"12515","352","1","383.70",1,2,2,5,"Lost costumer"
"13922","351","1","172.25",1,1,1,3,"Lost costumer"
"15562","351","1","134.55",1,1,1,3,"Lost costumer"
"13304","350","1","300.42",1,1,1,3,"Lost costumer"
"16282","339","1","168.30",1,1,1,3,"Lost costumer"
"15464","337","1","1048.85",1,2,3,6,"Lost costumer"
"15266","337","1","119.30",1,2,1,4,"Lost costumer"
"12386","337","2","401.90",1,2,2,5,"Lost costumer"
"13187","336","1","236.02",1,1,1,3,"Lost costumer"
"12829","336","2","293.00",1,2,1,4,"Lost costumer"
"15607","336","1","104.76",1,1,1,3,"Lost costumer"
"12501","336","1","2169.39",1,1,4,6,"Lost costumer"
"15649","335","2","816.00",1,2,3,6,"Lost costumer"
"12489","335","1","334.93",1,2,2,5,"Lost costumer"
"14889","335","1","135.90",1,1,1,3,"Lost costumer"
"12793","334","2","545.48",1,2,2,5,"Lost costumer"
"12651","334","1","114.00",1,2,1,4,"Lost costumer"
"17128","334","1","157.09",1,1,1,3,"Lost costumer"
"15100","333","3","876.00",1,3,3,7,"Lost costumer"
"18032","333","1","73.50",1,1,1,3,"Lost costumer"
"15326","333","1","311.71",1,2,2,5,"Lost costumer"
"16850","333","1","332.41",1,2,2,5,"Lost costumer"
"17406","332","3","2200.42",1,3,4,8,"Lost costumer"
"13144","332","1","110.95",1,2,1,4,"Lost costumer"
"12736","332","1","234.00",1,1,1,3,"Lost costumer"
"16351","332","1","153.90",1,1,1,3,"Lost costumer"
"15346","332","1","252.42",1,1,1,3,"Lost costumer"
"14270","331","1","492.65",1,1,2,4,"Lost costumer"
"17569","331","1","344.14",1,2,2,5,"Lost costumer"
"15171","330","1","1289.50",1,2,3,6,"Lost costumer"
"15510","330","1","250",1,1,1,3,"Lost costumer"
"14185","330","1","197.65",1,1,1,3,"Lost costumer"
"12652","330","1","919.98",1,2,3,6,"Lost costumer"
"16315","330","1","226.37",1,1,1,3,"Lost costumer"
"15447","330","1","155.17",1,1,1,3,"Lost costumer"
"13284","330","1","201.19",1,1,1,3,"Lost costumer"
"18106","329","1","430.70",1,1,2,4,"Lost costumer"
"12672","329","1","225.90",1,1,1,3,"Lost costumer"
"18085","329","2","689.95",1,2,3,6,"Lost costumer"
"13385","329","1","534.57",1,1,2,4,"Lost costumer"
"15316","326","1","165.00",1,1,1,3,"Lost costumer"
"12872","326","2","599.97",1,2,2,5,"Lost costumer"
"13859","325","1","201.16",1,1,1,3,"Lost costumer"
"12346","325","1","77183.60",1,1,4,6,"Lost costumer"
"13898","325","1","155.93",1,1,1,3,"Lost costumer"
"18212","325","1","248.42",1,1,1,3,"Lost costumer"
"18233","325","1","440",1,1,2,4,"Lost costumer"
"15395","325","1","107.45",1,2,1,4,"Lost costumer"
"14238","325","1","146.85",1,1,1,3,"Lost costumer"
"12665","324","1","63.00",1,1,1,3,"Lost costumer"
"14090","324","1","76.32",1,1,1,3,"Lost costumer"
"17862","323","1","330.90",1,2,2,5,"Lost costumer"
"15262","323","1","178.95",1,1,1,3,"Lost costumer"
"15174","322","1","135.75",1,1,1,3,"Lost costumer"
"12402","322","1","225.60",1,1,1,3,"Lost costumer"
"13008","322","1","229.47",1,1,1,3,"Lost costumer"
"15422","322","2","97.70",1,2,1,4,"Lost costumer"
"17890","322","2","602.09",1,2,2,5,"Lost costumer"
"16387","322","1","94.36",1,1,1,3,"Lost costumer"
"17094","321","1","302.00",1,1,1,3,"Lost costumer"
"17714","320","1","153.00",1,1,1,3,"Lost costumer"
"15167","320","1","163.00",1,1,1,3,"Lost costumer"
"15820","319","1","206.98",1,1,1,3,"Lost costumer"
"14782","319","1","200.10",1,1,1,3,"Lost costumer"
"14439","319","1","2661.24",1,1,4,6,"Lost costumer"
"14368","319","1","155.00",1,1,1,3,"Lost costumer"
"14068","319","1","265.85",1,1,1,3,"Lost costumer"
"15222","318","1","585.00",1,1,2,4,"Lost costumer"
"13615","318","1","417.69",1,1,2,4,"Lost costumer"
"16757","318","1","106.83",1,2,1,4,"Lost costumer"
"13551","318","1","91.80",1,1,1,3,"Lost costumer"
"14130","318","1","483.86",1,1,2,4,"Lost costumer"
"15213","318","2","328.35",1,2,2,5,"Lost costumer"
"15052","318","1","215.78",1,1,1,3,"Lost costumer"
"13002","317","1","120.95",1,2,1,4,"Lost costumer"
"16222","317","1","846.72",1,1,3,5,"Lost costumer"
"17118","317","1","157.02",1,1,1,3,"Lost costumer"
"14248","317","1","302.58",1,1,1,3,"Lost costumer"
"13703","317","1","99.50",1,1,1,3,"Lost costumer"
"12591","316","1","452.85",1,1,2,4,"Lost costumer"
"16124","316","1","249.00",1,1,1,3,"Lost costumer"
"15661","316","2","309.80",1,2,2,5,"Lost costumer"
"12764","316","1","1693.88",1,1,4,6,"Lost costumer"
"13328","315","1","1308.48",1,1,3,5,"Lost costumer"
"12574","315","1","218.45",1,1,1,3,"Lost costumer"
"13506","315","2","458.52",1,2,2,5,"Lost costumer"
"12377","314","2","1628.12",1,3,3,7,"Lost costumer"
"12735","314","2","779.57",1,2,3,6,"Lost costumer"
"17062","313","4","538.37",1,3,2,6,"Lost costumer"
"15415","312","1","572.81",1,1,2,4,"Lost costumer"
"13161","312","1","112.75",1,2,1,4,"Lost costumer"
"17239","312","1","382.50",1,2,2,5,"Lost costumer"
"15448","312","1","494.64",1,1,2,4,"Lost costumer"
"18095","312","2","580.05",1,2,2,5,"Lost costumer"
"17431","312","1","403.30",1,2,2,5,"Lost costumer"
"12929","311","1","117.85",1,2,1,4,"Lost costumer"
"14850","311","1","325.75",1,2,2,5,"Lost costumer"
"14496","311","2","538.81",1,2,2,5,"Lost costumer"
"13600","311","1","219.52",1,1,1,3,"Lost costumer"
"17619","311","1","218.52",1,1,1,3,"Lost costumer"
"17356","311","1","178.22",1,1,1,3,"Lost costumer"
"16403","311","1","177.50",1,1,1,3,"Lost costumer"
"13494","311","1","316.26",1,2,2,5,"Lost costumer"
"15881","311","5","501.39",1,4,2,7,"Lost costumer"
"15107","310","6","319.50",1,4,2,7,"Lost costumer"
"14457","310","1","113.64",1,2,1,4,"Lost costumer"
"12373","310","1","364.60",1,2,2,5,"Lost costumer"
"15226","310","1","154.41",1,1,1,3,"Lost costumer"
"14411","310","1","1063.00",1,2,3,6,"Lost costumer"
"12559","310","2","561.71",1,2,2,5,"Lost costumer"
"15940","310","1","35.80",1,1,1,3,"Lost costumer"
"14549","310","1","289.24",1,1,1,3,"Lost costumer"
"16030","309","1","331.24",1,2,2,5,"Lost costumer"
"17223","309","2","426.79",1,2,2,5,"Lost costumer"
"12350","309","1","334.40",1,2,2,5,"Lost costumer"
"13800","309","1","558.32",1,1,2,4,"Lost costumer"
"17912","309","5","311.01",1,4,2,7,"Lost costumer"
"18250","309","1","349.27",1,2,2,5,"Lost costumer"
"17517","308","1","153.94",1,1,1,3,"Lost costumer"
"14497","308","1","475.37",1,1,2,4,"Lost costumer"
"13581","308","1","118.00",1,2,1,4,"Lost costumer"
"12410","308","2","693.33",1,2,3,6,"Lost costumer"
"17226","308","1","393.49",1,2,2,5,"Lost costumer"
"15090","307","1","381.32",1,2,2,5,"Lost costumer"
"17291","307","1","550.80",1,1,2,4,"Lost costumer"
"13963","307","4","664.54",1,3,2,6,"Lost costumer"
"13584","306","1","142.40",1,1,1,3,"Lost costumer"
"17392","306","2","457.91",1,2,2,5,"Lost costumer"
"14600","305","1","393.33",1,2,2,5,"Lost costumer"
"12956","305","1","108.07",1,2,1,4,"Lost costumer"
"15808","305","4","3734.97",1,3,4,8,"Lost costumer"
"14438","305","1","131.90",1,1,1,3,"Lost costumer"
"17859","304","1","148.21",1,1,1,3,"Lost costumer"
"13809","304","1","155.05",1,1,1,3,"Lost costumer"
"15753","304","1","79.20",1,1,1,3,"Lost costumer"
"14048","304","1","409.93",1,1,2,4,"Lost costumer"
"15970","303","1","314.10",1,2,2,5,"Lost costumer"
"15843","303","1","118.95",1,2,1,4,"Lost costumer"
"17881","303","1","133.35",1,1,1,3,"Lost costumer"
"12401","302","1","84.30",1,1,1,3,"Lost costumer"
"13706","302","1","330.79",1,2,2,5,"Lost costumer"
"14431","302","1","470.36",1,1,2,4,"Lost costumer"
"17843","302","1","205.48",1,1,1,3,"Lost costumer"
"12561","302","1","238.85",1,1,1,3,"Lost costumer"
"17358","302","2","365.85",1,2,2,5,"Lost costumer"
"16405","301","2","167.25",1,2,1,4,"Lost costumer"
"13819","301","3","1140.35",1,3,3,7,"Lost costumer"
"16725","301","7","781.02",1,4,3,8,"Lost costumer"
"17334","301","2","307.02",1,2,1,4,"Lost costumer"
"16425","301","1","302.70",1,1,1,3,"Lost costumer"
"14081","301","2","934.52",1,3,3,7,"Lost costumer"
"13672","300","2","186.39",1,2,1,4,"Lost costumer"
"18159","300","1","530.15",1,1,2,4,"Lost costumer"
"16084","298","1","436.18",1,1,2,4,"Lost costumer"
"15236","298","1","321.05",1,2,2,5,"Lost costumer"
"16897","298","2","289.78",1,2,1,4,"Lost costumer"
"17829","298","1","889.24",1,1,3,5,"Lost costumer"
"16738","297","1","3.75",1,1,1,3,"Lost costumer"
"13893","297","1","821.10",1,1,3,5,"Lost costumer"
"15670","296","1","173.05",1,1,1,3,"Lost costumer"
"14176","296","4","576.90",1,3,2,6,"Lost costumer"
"14935","296","1","1784.71",1,1,4,6,"Lost costumer"
"14760","296","1","89.20",1,1,1,3,"Lost costumer"
"16509","296","1","363.70",1,2,2,5,"Lost costumer"
"16494","296","1","826.53",1,1,3,5,"Lost costumer"
"14386","296","1","142.40",1,1,1,3,"Lost costumer"
"16073","296","1","122.40",1,2,1,4,"Lost costumer"
"16148","295","1","76.32",1,1,1,3,"Lost costumer"
"13151","295","1","1257.87",1,2,3,6,"Lost costumer"
"14371","294","1","100.50",1,1,1,3,"Lost costumer"
"18138","294","1","152.65",1,1,1,3,"Lost costumer"
"12852","294","1","311.55",1,2,2,5,"Lost costumer"
"13932","294","1","307.40",1,1,1,3,"Lost costumer"
"16765","293","1","34.0",1,2,1,4,"Lost costumer"
"12988","291","1","535.32",1,1,2,4,"Lost costumer"
"12707","291","1","603.42",1,1,2,4,"Lost costumer"
"13044","290","1","560.47",1,1,2,4,"Lost costumer"
"16546","290","2","787.15",1,2,3,6,"Lost costumer"
"12365","290","2","641.38",1,2,2,5,"Lost costumer"
"16349","290","1","53.50",1,1,1,3,"Lost costumer"
"15303","289","1","574.02",1,1,2,4,"Lost costumer"
"16913","289","1","113.44",1,2,1,4,"Lost costumer"
"18114","289","1","220.10",1,1,1,3,"Lost costumer"
"17499","289","1","622.88",1,1,2,4,"Lost costumer"
"15397","289","1","94.00",1,1,1,3,"Lost costumer"
"18068","288","1","101.70",1,1,1,3,"Lost costumer"
"17171","288","1","224.91",1,1,1,3,"Lost costumer"
"12565","288","1","145.92",1,1,1,3,"Lost costumer"
"16072","287","1","584.32",1,1,2,4,"Lost costumer"
"12945","287","1","462.95",1,1,2,4,"Lost costumer"
"13753","287","1","741.26",1,1,3,5,"Lost costumer"
"13501","287","1","1340.32",1,1,3,5,"Lost costumer"
"13345","287","1","389.50",1,2,2,5,"Lost costumer"
"16997","287","3","702.00",1,3,3,7,"Lost costumer"
"13751","287","1","296.25",1,1,1,3,"Lost costumer"
"15543","287","1","127.86",1,1,1,3,"Lost costumer"
"17117","287","1","116.20",1,2,1,4,"Lost costumer"
"18056","287","1","363.65",1,2,2,5,"Lost costumer"
"12361","286","1","189.90",1,1,1,3,"Lost costumer"
"13973","286","1","264.70",1,1,1,3,"Lost costumer"
"16598","285","1","145.05",1,1,1,3,"Lost costumer"
"13684","285","1","67.23",1,1,1,3,"Lost costumer"
"14036","284","1","626.65",1,1,2,4,"Lost costumer"
"15709","283","1","133.25",1,1,1,3,"Lost costumer"
"12509","283","1","176.50",1,1,1,3,"Lost costumer"
"15319","283","1","204.50",1,1,1,3,"Lost costumer"
"14046","283","1","154.99",1,1,1,3,"Lost costumer"
"17165","283","1","158.68",1,1,1,3,"Lost costumer"
"16078","283","1","79.20",1,1,1,3,"Lost costumer"
"16339","283","1","109.95",1,2,1,4,"Lost costumer"
"15456","282","3","447.22",1,3,2,6,"Lost costumer"
"12834","282","1","312.38",1,2,2,5,"Lost costumer"
"15257","282","1","317.15",1,2,2,5,"Lost costumer"
"13166","282","1","417.20",1,1,2,4,"Lost costumer"
"13497","282","2","348.05",1,2,2,5,"Lost costumer"
"15733","282","1","162.30",1,1,1,3,"Lost costumer"
"12866","282","1","559.12",1,1,2,4,"Lost costumer"
"14483","281","1","137.10",1,1,1,3,"Lost costumer"
"16792","281","2","110.38",1,2,1,4,"Lost costumer"
"12873","281","1","374.00",1,2,2,5,"Lost costumer"
"17923","281","1","207.50",1,1,1,3,"Lost costumer"
"16159","281","1","348.20",1,2,2,5,"Lost costumer"
"15087","281","1","306.94",1,1,1,3,"Lost costumer"
"17995","281","1","76.10",1,1,1,3,"Lost costumer"
"13715","280","5","1079.34",1,4,3,8,"Lost costumer"
"17508","280","1","387.31",1,2,2,5,"Lost costumer"
"12817","280","1","166.04",1,1,1,3,"Lost costumer"
"13382","280","1","222.99",1,1,1,3,"Lost costumer"
"12755","280","2","3811.95",1,3,4,8,"Lost costumer"
"14570","280","2","218.06",1,2,1,4,"Lost costumer"
"17789","280","1","225.90",1,1,1,3,"Lost costumer"
"14779","280","3","386.15",1,3,2,6,"Lost costumer"
"17535","279","1","164.40",1,1,1,3,"Lost costumer"
"17325","279","1","96.80",1,1,1,3,"Lost costumer"
"14670","279","2","411.53",1,2,2,5,"Lost costumer"
"14012","277","1","328.80",1,2,2,5,"Lost costumer"
"18280","277","1","180.60",1,1,1,3,"Lost costumer"
"12614","277","1","315.60",1,2,2,5,"Lost costumer"
"14247","277","1","136.77",1,1,1,3,"Lost costumer"
"15554","277","1","217.20",1,1,1,3,"Lost costumer"
"16917","276","1","391.52",1,2,2,5,"Lost costumer"
"15944","276","1","325.10",1,2,2,5,"Lost costumer"
"16517","276","1","162.70",1,1,1,3,"Lost costumer"
"17654","276","1","117.55",1,2,1,4,"Lost costumer"
"15869","276","2","149.64",1,2,1,4,"Lost costumer"
"14586","276","1","237.36",1,1,1,3,"Lost costumer"
"15234","276","1","197.00",1,1,1,3,"Lost costumer"
"12623","275","1","305.10",1,1,1,3,"Lost costumer"
"12881","275","1","298.00",1,1,1,3,"Lost costumer"
"13093","275","8","7832.47",1,4,4,9,"Lost costumer"
"17639","275","1","108.50",1,2,1,4,"Lost costumer"
"14165","275","1","122.54",1,2,1,4,"Lost costumer"
"17138","275","1","380.50",1,2,2,5,"Lost costumer"
"13493","274","2","618.63",1,2,2,5,"Lost costumer"
"16471","274","1","223.95",1,1,1,3,"Lost costumer"
"14603","274","1","660.00",1,1,2,4,"Lost costumer"
"16625","274","1","333.08",1,2,2,5,"Lost costumer"
"15057","274","2","1489.50",1,3,3,7,"Lost costumer"
"15049","273","1","121.17",1,2,1,4,"Lost costumer"
"14350","273","1","282.93",1,1,1,3,"Lost costumer"
"17194","273","2","262.62",1,2,1,4,"Lost costumer"
"14114","273","2","386.53",1,2,2,5,"Lost costumer"
"15308","273","1","310.47",1,2,2,5,"Lost costumer"
"14727","273","1","268.58",1,1,1,3,"Lost costumer"
"18086","273","1","101.34",1,1,1,3,"Lost costumer"
"13133","273","2","109.80",1,2,1,4,"Lost costumer"
"16766","272","2","1145.60",1,3,3,7,"Lost costumer"
"13043","272","1","516.42",1,1,2,4,"Lost costumer"
"13226","272","1","108.21",1,2,1,4,"Lost costumer"
"14962","270","1","126.70",1,1,1,3,"Lost costumer"
"13708","270","1","296.88",1,1,1,3,"Lost costumer"
"15388","269","1","140.54",1,1,1,3,"Lost costumer"
"16392","269","1","221.19",1,1,1,3,"Lost costumer"
"15047","269","1","343.62",1,2,2,5,"Lost costumer"
"16037","269","3","855.02",1,3,3,7,"Lost costumer"
"17542","269","1","170.75",1,1,1,3,"Lost costumer"
"16297","268","1","301.90",1,1,1,3,"Lost costumer"
"13121","268","1","283.73",1,1,1,3,"Lost costumer"
"13358","268","1","439.03",1,1,2,4,"Lost costumer"
"13716","268","1","138.28",1,1,1,3,"Lost costumer"
"16152","268","1","1829.04",1,1,4,6,"Lost costumer"
"13261","268","2","944.10",1,3,3,7,"Lost costumer"
"13299","267","1","142.50",1,1,1,3,"Lost costumer"
"14840","267","1","62.85",1,1,1,3,"Lost costumer"
"13185","267","1","71.40",1,1,1,3,"Lost costumer"
"13216","267","1","333.74",1,2,2,5,"Lost costumer"
"15019","266","1","266.00",1,1,1,3,"Lost costumer"
"14059","266","1","183.60",1,1,1,3,"Lost costumer"
"16216","266","1","914.93",1,1,3,5,"Lost costumer"
"14066","266","1","152.55",1,1,1,3,"Lost costumer"
"13072","266","1","177.15",1,1,1,3,"Lost costumer"
"15695","266","2","409.98",1,2,2,5,"Lost costumer"
"13707","266","2","806.41",1,2,3,6,"Lost costumer"
"12514","266","1","1017.68",1,2,3,6,"Lost costumer"
"16976","266","1","251.52",1,1,1,3,"Lost costumer"
"16256","266","1","752.43",1,1,3,5,"Lost costumer"
"16716","266","2","901.20",1,2,3,6,"Lost costumer"
"12845","266","4","354.09",1,3,2,6,"Lost costumer"
"16377","266","1","676.20",1,1,3,5,"Lost costumer"
"14633","265","1","344.90",1,2,2,5,"Lost costumer"
"14155","265","1","118.75",1,2,1,4,"Lost costumer"
"14041","265","1","141.41",1,1,1,3,"Lost costumer"
"17060","265","1","234.24",1,1,1,3,"Lost costumer"
"16402","264","2","299.60",1,2,1,4,"Lost costumer"
"14693","264","1","172.90",1,1,1,3,"Lost costumer"
"12902","264","1","138.68",1,1,1,3,"Lost costumer"
"15703","264","1","211.50",1,1,1,3,"Lost costumer"
"16619","263","1","226.21",1,1,1,3,"Lost costumer"
"17230","263","8","3638.41",1,4,4,9,"Lost costumer"
"17678","263","1","298.11",1,1,1,3,"Lost costumer"
"13934","263","1","922.10",1,2,3,6,"Lost costumer"
"15408","263","1","267.18",1,1,1,3,"Lost costumer"
"18224","263","1","158.95",1,1,1,3,"Lost costumer"
"14762","263","1","300.52",1,1,1,3,"Lost costumer"
"16096","263","1","320.62",1,2,2,5,"Lost costumer"
"15445","263","1","113.50",1,2,1,4,"Lost costumer"
"16135","262","1","517.55",1,1,2,4,"Lost costumer"
"14632","262","1","114.56",1,2,1,4,"Lost costumer"
"16427","262","2","241.06",1,2,1,4,"Lost costumer"
"13262","262","1","200.29",1,1,1,3,"Lost costumer"
"17763","262","1","15.00",1,1,1,3,"Lost costumer"
"15437","261","1","200.16",1,1,1,3,"Lost costumer"
"16721","261","1","292.47",1,1,1,3,"Lost costumer"
"13239","261","1","329.56",1,2,2,5,"Lost costumer"
"12831","261","1","215.05",1,1,1,3,"Lost costumer"
"13132","261","1","77.30",1,1,1,3,"Lost costumer"
"17507","261","2","605.58",1,2,2,5,"Lost costumer"
"17102","261","1","25.50",1,2,1,4,"Lost costumer"
"12818","261","1","1542.08",1,1,3,5,"Lost costumer"
"18191","261","1","207.80",1,1,1,3,"Lost costumer"
"15457","261","1","237.07",1,1,1,3,"Lost costumer"
"14870","261","1","327.25",1,2,2,5,"Lost costumer"
"16250","260","2","389.44",1,2,2,5,"Lost costumer"
"17698","260","1","154.95",1,1,1,3,"Lost costumer"
"12564","260","1","456.90",1,1,2,4,"Lost costumer"
"13341","260","1","775.85",1,1,3,5,"Lost costumer"
"17486","260","1","396.87",1,2,2,5,"Lost costumer"
"12811","260","3","514.85",1,3,2,6,"Lost costumer"
"13512","260","1","251.21",1,1,1,3,"Lost costumer"
"15178","259","1","40.50",1,1,1,3,"Lost costumer"
"14536","259","1","171.80",1,1,1,3,"Lost costumer"
"16063","259","1","335.32",1,2,2,5,"Lost costumer"
"16769","259","1","380.39",1,2,2,5,"Lost costumer"
"16022","259","1","628.28",1,1,2,4,"Lost costumer"
"14348","259","1","409.57",1,1,2,4,"Lost costumer"
"14256","259","2","969.06",1,3,3,7,"Lost costumer"
"13452","258","2","590",1,2,2,5,"Lost costumer"
"18071","257","2","453.00",1,2,2,5,"Lost costumer"
"14476","256","1","215.70",1,1,1,3,"Lost costumer"
"13357","256","1","609.95",1,1,2,4,"Lost costumer"
"15083","256","1","88.20",1,1,1,3,"Lost costumer"
"18010","256","1","174.80",1,1,1,3,"Lost costumer"
"12792","256","1","400.54",1,2,2,5,"Lost costumer"
"13649","256","2","346.60",1,2,2,5,"Lost costumer"
"13368","256","2","623.40",1,2,2,5,"Lost costumer"
"16692","255","2","1276.00",1,3,3,7,"Lost costumer"
"13803","255","1","277.07",1,1,1,3,"Lost costumer"
"15032","255","3","4959.10",1,3,4,8,"Lost costumer"
"15589","255","3","478.53",1,3,2,6,"Lost costumer"
"17775","254","1","56.40",1,1,1,3,"Lost costumer"
"13439","254","1","283.71",1,1,1,3,"Lost costumer"
"15353","254","2","777.02",1,2,3,6,"Lost costumer"
"16980","254","2","1078.96",1,3,3,7,"Lost costumer"
"15424","254","2","383.34",1,2,2,5,"Lost costumer"
